,Article Title,Category
0,"Arsenal beats Southampton 3-0 without dropped Aubameyang



Martin Odegaard scored for a third straight game as Arsenal eased to a 3-0 victory over Southampton in the English Premier League on Saturday to end a run of two straight losses.



",sports
1,"Bayern down Mainz to go six points clear in the Bundesliga



Defending champions Bayern Munich extended their lead at the top of the Bundesliga to six points on Saturday after coming from behind to seal a 2-1 home win against Mainz.



",sports
2,"Sterling's penalty gives Man City 1-0 win over Wolves in EPL



Manchester City needed a disputed penalty to secure a 1-0 win over 10-man Wolverhampton on Saturday and ensure it stayed atop the Premier League.



",sports
3,"Indian police hold man for stealing Maradona's watch



Indian police have recovered a stolen watch customised for star footballer Diego Maradona and arrested a suspect behind the alleged theft in Dubai, officials claimed Saturday.



",sports
4,"UEFA cancels Covid-postponed Tottenham v Rennes tie



UEFA on Saturday announced the cancellation of Tottenham's Covid-postponed Europa Conference League game against Rennes.



",sports
5,"Jorginho to play through pain for Chelsea: Tuchel



Thomas Tuchel says Chelsea midfielder Jorginho will ignore the pain of his back injury to play in Saturday's Premier League clash against Leeds.



",sports
6,"Spanish clubs ratify investment plan, without Real Madrid, Barca



A large majority of Spain's top soccer clubs, with the notable exceptions of Real Madrid and Barcelona, have ratified an investment plan with a private equity firm, the league said Friday.



",sports
7,"Gerrard would swap Liverpool hero status for Villa win on Anfield return



Steven Gerrard admits he would be happy to give up his hero status at Liverpool in exchange for an Aston Villa win on Saturday as the Anfield legend prepares to return to his former club ""with a smile on his face"".



",sports
8,"COVID concerns for Norwich after Tottenham outbreak



Norwich was facing ``a couple of COVID-related issues'' ahead of its Premier League game against Manchester United, manager Dean Smith said Friday.



",sports
9,"Reus targets Dortmund winning run to pressure Bayern



With the prolific Erling Haaland fit and firing again, Borussia Dortmund hope to round out the year in style and close the gap on Bundesliga leaders Bayern Munich.



",sports
10,"Real Madrid aim to tighten grasp on La Liga in derby against Atletico



Carlo Ancelotti was adamant Real Madrid have not sewn up the La Liga title already but beat Atletico Madrid on Sunday and they might not be far away.



",sports
11,"Tottenham-Brighton game postponed after Covid-19 outbreak



This weekend's Premier League game between Brighton and Tottenham has been postponed because of an outbreak of COVID-19 among the London club's players and staff.



",sports
12,"Gerrard's Anfield return offers possible glimpse into future



Jurgen Klopp often bumps into Steven Gerrard while walking his dogs in the pretty coastal town where they both live, just north of Liverpool.



",sports
13,"Lionel Messi finally settling in at PSG in physical league



Lionel Messi is looking like his old self again. After adapting slowly to his new club and league, the Argentina great finally delivered a complete performance in a Paris Saint-Germain shirt this week.



",sports
14,"Milan look to domestic glory after European flop



AC Milan will turn their attention to cement top spot in Italy this weekend after the gulf between the Serie A leaders and Europe's best was exposed.



",sports
15,"Kimmich out until January after Covid-related lung damage



Bayern Munich said Thursday that star midfielder Joshua Kimmich would not return to action until January as he recovers from lung damage caused by Covid-19.



",sports
16,"UEFA confirms Tottenham v Rennes match is off after Covid outbreak



European football's governing body UEFA has confirmed that Tottenham's Europa Conference League game with Rennes on Thursday is off after a coronavirus outbreak in the Spurs camp.



",sports
17,"Barcelona recovery still pending as Champions League exit creates more problems for Xavi



Xavi Hernandez said the Europa League is not where Barcelona belong, but another chastening defeat by Bayern Munich on Wednesday showed again how far they are from the Champions League elite.



",sports
18,"Leipzig hires Tedesco as new coach to replace Marsch



Leipzig hired former Schalke and Spartak Moscow coach Domenico Tedesco on Thursday to replace American coach Jesse Marsch, who left after a run of losses.



",sports
