,Article Title,Category
0,"

Works by Picasso and others stolen in Spain 



Picasso art stolen in Madrid



",Art
1,"

Salwa and Maged at the Art Corner Gallery 



Exhibiting paintings by Salwa Halim and Maged Bishara, the Art Corner gallery in Zamalek is infused with a dose of serenity; subtle colour and fine technique.



",Art
2,"

A tribute to Abdalla Gohar



On 1 December, Khan Al Maghraby will open an exhibition presenting works by Abdalla Gohar



",Art
3,"

Raw, untamed, and compelling: ‘Flesh’ by Samir Fouad



Crude, gripping and just a little scandalous, Samir Fouad’s expressionist exhibition ‘Flesh’ opened on Sunday 21 November at the Picasso Art Gallery.



",Art
4,"

From water to mosaics



The Gezira Centre for Modern Art exhibits Mohamed Abla's Shagaret el Hayah (Tree of Life), featuring oil paintings, newspaper clippings and video installations, and Mohamed Banawy's mosaic works



",Art
5,"

Of man and woman



Artist Ayman Taher's latest display of oil paintings, entitled “Of him...and occasionally her”, open until November 30 at Galerie EXTRA in Zamalek.



",Art
6,"

Francesc Ruiz: The Paper Trail



Touring Cairo as a comic book character of by-gone years is exactly what Francesc Ruiz presents at Contemporary Image Collective (CIC) until November 27, with his newest comic book series, The Green Detour



",Art
7,"

Open Call for Participation in a Photography Exhibition 



An open call for participants in a photography project is taking place at the Emad Eddin Foundation



",Art
8,"

Sculptor Shaaban Abbas passes away 



Shaaban Abbas, Egyptian sculptor, has passed away. His works were recently exhibited at the Palace of Arts.



",Art
9,"

The Human body as Art



Whether the representations of the body are spontaneous cave drawings or intentional academic studies, it remains one of the fundamental reasons for all artistic creations.



",Art
10,"

Resisting with spray and paint



An exhibition featuring graffiti from Gaza was inaugurated at AUC on 1 November



",Art
11,"

The World according to 1957



With half a century of life experiences expressed though artistic activities, three artists born in 1957 met together at the Khan Al Maghraby gallery in Zamalek, to tell us about their vision.



",Art
12,"

Vigilante art - Graffiti in Egypt



Graffiti can be defined as being inscriptions, slogans and drawings; scratched, scribbled or painted on a wall or other public or private surface



",Art
13,"

World’s greatest monuments rebuilt one toothpick at a time



Toothpicks have made their way not into mouths or finger-food presentations, but into Stan Munro's hands, as building blocks for much bigger items. Ahram Online had the pleasure to go one-on-one with the 'toothpick engineer'



",Art
14,"

Khaled El Gowaily's photography exhibition in Alexandria



El Gowaily's new exhibition will run between 13-23 January at the Jesuites Cultural Centre in Alexandria



",Art
15,"

Ibrahim El Haddad exhibition at Mashrabia Gallery



After many years living and working in Switzerland, Ibrahim El Haddad returns with a series of small-sized works on paper as well as big formats. The exhibition opens on 16 January



",Art
16,"

Agriculture re-examined



Spanish artist Asunción Molinos explores and destroys myths in modern farming



",Art
17,"

Mamdouh Ammar exhibition at Safar Khan Gallery



Known for his love of nature, Egyptian contemporary artist Mamdouh Ammar presents his latest exhibition, ""Paintings"", at Safar Khan Gallery in Zamalek



",Art
18,"

Georges Bahgory at ALMASAR Gallery



ALMASAR Gallery announces the opening of its highly anticipated exhibition of Georges Bahgory on January 16



",Art
19,"

In the Spirit of Vaudeville 



Darb 1718 situated in old Cairo is a serene venue unperturbed by the noise of the city. It is currently displaying Fame: Family Vaudeville, a collaborative exhibition by thirteen artists



",Art
20,"

Twenty Something at Khan Al Maghraby 



Nine female artists will exhibit their work at Khan Al Maghraby gallery starting 4 January



",Art
21,"

 Art in 2010: Cairo in Colour



Cairo’s art scene in 2010 was everything the city is: busy, engaging, and refreshingly dynamic. The city played host to a plethora of art exhibitions, its galleries acting as a platform for masters and rising starts alike



",Art
22,"

The World of Yoshitomo Nara



Located within the Cairo Opera House grounds, the charming El Bab Gallery hosts an exhibition by Japanese neo-pop artist Yoshitomo Nara, the 12th International Cairo Biennale’s guest of honour



",Art
23,"

Futuropolis or Reflections on the future



In a spacious hall in the Saad Zaghloul Cultural Centre, Futuropolis, an exhibition featuring the works of 13 artists from Egypt and abroad, tries to speculate on the future of the city through different ideas, styles and means



",Art
24,"

Spanish police recover stolen art



Spanish police recovered art works, including a Picasso, stolen on November 27



",Art
25,"

World museums unite for Dulwich Gallery's 200th



London's Dulwich Picture Gallery turns 200 years old in January, and the museum is in for a birthday treat with 12 masterpieces from around the world, one for every month of its anniversary year



",Art
26,"

In search of beauty in besieged Gaza



On Wednesday, the Arab League is simultaneously hosting an art exhibition, a literary seminar and a ministerial meeting - all on the Palestinian cause



",Art
27,"

Of Chernobyl and Sultan Hassan – two women on a photographic mission 



From empty villages in Ukraine to busy streets in Egypt, Anna and Maria capture life in photos



",Art
28,"

“The Diversity of All and Everything Possible”: XII International Cairo Biennale



The 12th International Cairo Biennale kicks off on 12th December and will continue for two months



",Art
29,"

Young artists at Khan Al Maghraby gallery



Two young artists will exhibit their work at Khan Al Maghraby gallery starting 14 December.



",Art
30,"

Souad Mardam Bey: Art in Spellbinding Colour



Souad Mardam Bey’s latest exhibition, “Les Choses de la Vie” is held at Safarkhan Art Gallery in Zamalek



",Art
31,"

The One and the Multiple



A collaborative exhibition between Egyptian and Spanish artists titled 'The One and the Multiple' will be inaugurated on 14 December



",Art
32,"

Mohamed Abla at Zamalek Art Gallery



Zamalek Art Gallery will host ""Cairo Towers' exhibition showcasing the works of Mohamed Abla



",Art
33,"

Kareem El Qurity: Expressions of Freedom



El Qurity has been unveiling the struggles of Egyptians through his bold artwork. Like his homeland, he has been undergoing constant transformation, yet one constant prevails: he (and Egypt alike) is a store of undeniable talent



",Art
34,"

Graffiti/new expressionism exhibition at Mashrabia



On 6 March Mashrabia opens a new exhibition where graffiti meets new expressionism. Prepare yourself for Amre Heiba’s take on 'Still Life'



",Art
35,"

'Egypt is our Country' exhibition dedicated to 25 January revolution



An exhibition entitled 'Masr Baladna'(Egypt is our country) will open on 5 March



",Art
36,"

January Revolution exhibition at Art Corner



Art Corner, Zamalek, to hold an exhibition for artists who express their experience of 25 January Revolution



",Art
37,"

Mohamed Abla: On art and change



For more than two weeks, the artist dedicated his voice to chanting and his time to raising political awareness among the eclectic crowd, while adding a dash of colour to Tahrir Square



",Art
38,"

 Revolutionary art paints a life of freedom and democracy for Egypt



Revelling in their new-found freedom to express, millions of Egyptians participated in what was an incredibly bold, creative and fervent revolution



",Art
39,"

Visual artists unhappy with syndicate



Members of the syndicate of fine arts are calling for the removal of the heads of their syndicate



",Art
40,"

Ziad Bakir, artist and graphic designer at the Cairo Opera House is missing



Ziad Mohamed Saleh Bakir, son of Sawsan Fouad and Mohamed Saleh Bakir, was born on 9 November 1973. Bakir is a graphic designer at the Cairo Opera House and a father of three children



",Art
41,"

Has the Egyptian revolution given birth to new Banksys?



The world knows the works of British artist Banksy, French Jef aerosol, and many other graffiti – and stencils – creators. One of the by-products of the Egyptian revolution are stencils found in Downtown Cairo



",Art
42,"

Opening ceremony of the Fayoum Art Center



The 5th annual opening ceremony of the Fayoum Art Center will take place on 4 February



",Art
