,Article Title,Category
0,"

Chinese demand, Mideast turmoil boost shipping costs



Despite boosts, shipping industry is still a long way from its peak daily earnings of $233,988 a day in 2008



",economy
1,"

Egypt government to issue LE1 bn in zero coupon bonds



Ministry of Finance official confirms government plan to diversify debt portfolio through issue of zero coupon bonds starting 17 September



",economy
2,"

First Egyptian Samsung factory starts production



The factory in Beni Suef will employ thousands of locals, the company says



",economy
3,"

UPDATED: Egyptian and Arab stocks soar as Russian proposal diffuses Syria crisis



Egypt's main index leapt by 3.11 percent and the Arab market by 8.5 percent Tuesday, reflecting investors' relief over Syria



",economy
4,"

Greek high school teachers to strike over job cuts



Government plans to suspend 25,000 public servants this year and fire 15,000 by the end of 2014; teachers to go on strike starting 16 September



",economy
5,"

Egypt urban inflation eases to 9.7%: CAPMAS



End of Ramadan and imposition of curfew following removal of former president Mohamed Morsi resulted in lowering of inflation rate, say analysts



",economy
6,"

Apple's next big thing may be lower-priced iPhone



The maker of the i-phone is expected to reveal the latest update to its lineup on Tuesday



",economy
7,"

Qatar agrees to convert $2 bn into Egypt bonds: Reports



Hesham Ramez, governor of the Central Bank of Egypt, says Doha approved the conversion of $2 billion into Egyptian bonds, several Egyptian newspapers and evening talk shows report Monday



",economy
8,"

Progress on Egypt's constitution pushes up stocks, easing investor fears 



Egypt's main index climbed 1.14 percent on Monday



",economy
9,"

Special Report: In France, a tax-free property empire



From Paris's Lido cabaret to London's Harrods, Qatari royals gobbling up real estate in Europe, taking advantage of no-tax treaties



",economy
10,"

Orascom Telecom Holding subsidiary wins 3G auction in Bangladesh



Banglalink bought 5MHz for $110.25 million along with three other operators at disappointing auction on Sunday



",economy
11,"

BP says makes 'significant' Egypt gas discovery



BP says the new discovery is in the East Nile Delta



",economy
12,"

Drop in BG Group output fuels FTSE 100's fall



UK's top share index dragged down by oil and gas firm announcement that project delays in Egypt and Norway would reduce 2014 production



",economy
13,"

Egypt stocks gain slightly amid ongoing investor fears



National insecurity is continuing to weigh down the market in terms of investment and shares trading



",economy
14,"

Egyptian authorities examine Morsi family wealth



Financial disclosure of ousted president Mohamed Morsi's land and assets is examined by legal authorities



",economy
15,"

Head of Egypt's labour federation commences post amidst tension



Newly appointed head of state-controlled Trade Unions Federation (ETUF), Abdel Fattah Ibrahim, enters office amidst security presence



",economy
16,"

Saudi oil output at record high in August 



Saudi Arabia hits a new record high in producing crude oil in August with 10.19 million barrels per day



",economy
17,"

Dubai's DAE ends tie-up talks with BBA Aviation



Dubai Aerospace Enterprise says it ended discussions over possible merge with British aircraft services firm BBA Aviation



",economy
18,"

Egypt manpower minister sacks state-run trade union federation board



Dismissed ETUF board head Gebali El-Maraghi contests minister's decision, says new board 'illegitimate' due to inclusion of independent syndicate members



",economy
