,Final_Text,Category
0,work picasso others stolen spain picasso art stolen madrid,Art
1,salwa maged art corner gallery exhibiting painting salwa halim maged bishara art corner gallery zamalek infused dose serenity subtle colour fine technique,Art
2,tribute abdalla gohar 1 december khan al maghraby open exhibition presenting work abdalla gohar,Art
3,raw untamed compelling âfleshâ samir fouad crude gripping little scandalous samir fouadâs expressionist exhibition âfleshâ opened sunday 21 november picasso art gallery,Art
4,water mosaic gezira centre modern art exhibit mohamed ablas shagaret el hayah tree life featuring oil painting newspaper clipping video installation mohamed banawys mosaic work,Art
5,man woman artist ayman tahers latest display oil painting entitled âof himand occasionally herâ open november 30 galerie extra zamalek,Art
6,francesc ruiz paper trail touring cairo comic book character bygone year exactly francesc ruiz present contemporary image collective cic november 27 newest comic book series green detour,Art
7,open call participation photography exhibition open call participant photography project taking place emad eddin foundation,Art
8,sculptor shaaban abbas pass away shaaban abbas egyptian sculptor passed away work recently exhibited palace art,Art
9,human body art whether representation body spontaneous cave drawing intentional academic study remains one fundamental reason artistic creation,Art
10,resisting spray paint exhibition featuring graffiti gaza inaugurated auc 1 november,Art
11,world according 1957 half century life experience expressed though artistic activity three artist born 1957 met together khan al maghraby gallery zamalek tell u vision,Art
12,vigilante art graffiti egypt graffiti defined inscription slogan drawing scratched scribbled painted wall public private surface,Art
13,worldâs greatest monument rebuilt one toothpick time toothpick made way mouth fingerfood presentation stan munro hand building block much bigger item ahram online pleasure go oneonone toothpick engineer,Art
14,khaled el gowailys photography exhibition alexandria el gowailys new exhibition run 1323 january jesuites cultural centre alexandria,Art
15,ibrahim el haddad exhibition mashrabia gallery many year living working switzerland ibrahim el haddad return series smallsized work paper well big format exhibition open 16 january,Art
16,agriculture reexamined spanish artist asunciã³n molinos explores destroys myth modern farming,Art
17,mamdouh ammar exhibition safar khan gallery known love nature egyptian contemporary artist mamdouh ammar present latest exhibition painting safar khan gallery zamalek,Art
18,george bahgory almasar gallery almasar gallery announces opening highly anticipated exhibition george bahgory january 16,Art
19,spirit vaudeville darb 1718 situated old cairo serene venue unperturbed noise city currently displaying fame family vaudeville collaborative exhibition thirteen artist,Art
20,twenty something khan al maghraby nine female artist exhibit work khan al maghraby gallery starting 4 january,Art
21,art 2010 cairo colour cairoâs art scene 2010 everything city busy engaging refreshingly dynamic city played host plethora art exhibition gallery acting platform master rising start alike,Art
22,world yoshitomo nara located within cairo opera house ground charming el bab gallery host exhibition japanese neopop artist yoshitomo nara 12th international cairo biennaleâs guest honour,Art
23,futuropolis reflection future spacious hall saad zaghloul cultural centre futuropolis exhibition featuring work 13 artist egypt abroad try speculate future city different idea style mean,Art
24,spanish police recover stolen art spanish police recovered art work including picasso stolen november 27,Art
25,world museum unite dulwich gallery 200th london dulwich picture gallery turn 200 year old january museum birthday treat 12 masterpiece around world one every month anniversary year,Art
26,search beauty besieged gaza wednesday arab league simultaneously hosting art exhibition literary seminar ministerial meeting palestinian cause,Art
27,chernobyl sultan hassan â two woman photographic mission empty village ukraine busy street egypt anna maria capture life photo,Art
28,âthe diversity everything possibleâ xii international cairo biennale 12th international cairo biennale kick 12th december continue two month,Art
29,young artist khan al maghraby gallery two young artist exhibit work khan al maghraby gallery starting 14 december,Art
30,souad mardam bey art spellbinding colour souad mardam beyâs latest exhibition âles choses de la vieâ held safarkhan art gallery zamalek,Art
31,one multiple collaborative exhibition egyptian spanish artist titled one multiple inaugurated 14 december,Art
32,mohamed abla zamalek art gallery zamalek art gallery host cairo tower exhibition showcasing work mohamed abla,Art
33,kareem el qurity expression freedom el qurity unveiling struggle egyptian bold artwork like homeland undergoing constant transformation yet one constant prevails egypt alike store undeniable talent,Art
34,graffitinew expressionism exhibition mashrabia 6 march mashrabia open new exhibition graffiti meet new expressionism prepare amre heibaâs take still life,Art
35,egypt country exhibition dedicated 25 january revolution exhibition entitled masr baladnaegypt country open 5 march,Art
36,january revolution exhibition art corner art corner zamalek hold exhibition artist express experience 25 january revolution,Art
37,mohamed abla art change two week artist dedicated voice chanting time raising political awareness among eclectic crowd adding dash colour tahrir square,Art
38,revolutionary art paint life freedom democracy egypt revelling newfound freedom express million egyptian participated incredibly bold creative fervent revolution,Art
39,visual artist unhappy syndicate member syndicate fine art calling removal head syndicate,Art
40,ziad bakir artist graphic designer cairo opera house missing ziad mohamed saleh bakir son sawsan fouad mohamed saleh bakir born 9 november 1973 bakir graphic designer cairo opera house father three child,Art
41,egyptian revolution given birth new banksys world know work british artist banksy french jef aerosol many graffiti â stencil â creator one byproduct egyptian revolution stencil found downtown cairo,Art
42,opening ceremony fayoum art center 5th annual opening ceremony fayoum art center take place 4 february,Art
43,life surrounded art sherwet shafei owner reputable safarkhan gallery located cairoâs glamorous art hub zamalek talk ahram online journey along many remarkable egyptian artist,Art
44,bahgoury delightful maverick george bahgoury exhibit painting bursting life al masar gallery zamalek communicating fervent colour canvas simply impress induce edgeofseat attentiveness,Art
45,vessela farid egyptian egyptian artist rare collection acrylic gouache painting open zamalek art gallery,Art
46,underwater art artist jason de caires taylor created underwater sculpture encourage coral growth sea bed coast cancun,Art
47,huda lutfi twenty year art tache art gallery pleased announce inaugural exhibition retrospective show work internationallyacclaimed egyptian artist huda lutfi,Art
48,painting muse lovestruck picasso auction sensual 1932 portrait pablo picasso young mistress marietherese walter capture romantic obsession went display sothebys paris wednesday 19 january ahead auction next month,Art
49,tache art egyptian modern art determined bring egyptian art world tache art want revolutionise art gallery egypt aim educate serve entire art scene,Art
50,contemporary retrospective forty year minister art crowd notable celebrity flocked offok art gallery mohamed mahmoud khalil museum sunday inauguration artist culture minister farouk hosnyâs contemporary retrospective,Art
51,art music gezira art centre wednesday 19 january gezira art centre open new exhibition entitled art music,Art
52,flashback european biennale work manifesta 8 featured alexandria,Art
53,art zone helping student explore talent second annual exhibition art zone opened collection work student many slowly surely turning amateur semiprofessional,Art
54,thawretna souretna tache gallery tache art gallery open first photography exhibition egyptian revolution donate proceeds charity,Art
55,witty clever cartoon make fun old regime mocking dictatorship mubarak regime talented artist arab world west joined force present caricature revolution latelier du caire,Art
56,new mural progress zamalek wall building faculty fine art helwan university zamalek serve canvas mural painting,Art
57,art zone exhibit work student annual exhibition work student art centre art zone opening friday 1 april,Art
58,celebrating egyptian culture third amateur photographer competition organized european union delegation egypt showcase unique perspective culture today,Art
59,egypt artistic tribute revolution martyr egypt exhibition held khan al maghraby tribute revolution martyr assortment contemporary artist including mohamed abla rabab nemr adel el siwi,Art
60,art mother egypt zamalek art gallery exhibit rare selection masterpiece egyptâs prominent contemporary artist,Art
61,revolutioninspired exhibition come amir taz palace show feature famous emerging artist plus performance masreyeen band,Art
62,egypt revolution alexandria atelier photography exhibition titled egypt revolution held alexandria atelier 18 25 march 2011,Art
63,memory ziad bakir beautiful soul inspiring artist death ziad bakir one martyr january revolution devastated family friend many people art field remembered extremely creative profound time modest artist,Art
64,evolution revolution evolution revolution sculpture showcasing social networking evolved people revolution sculptor adam reeder speaks ahram online,Art
65,bassiouny martyr revolution commemorated hall named martyr ahmed bassiouny college art education tree planted memory,Art
66,neighbourhood egypt revolution art exhibition artist express dark detainment cruelty rise egyptian euphoric victory 25 january revolution art corner gallery exhibition proceeds four painting donated hospital,Art
67,photo gallery graffiti libya youth libya express right freedom mural number libyan city,Art
68,egypt love safarkhan gallery zamalek celebrates youthful 25 january revolution collective exhibition entitled âto egypt loveâ featuring photograph three budding artist,Art
69,popular show townhouse gallery popular show opened 6 march townhouse gallery downtown showcasing vast range contemporary artwork basically anyone everyone wanted participate,Art
70,beginning salama gallery monday 14 march salama gallery invite public opening collective exhibition entitled beginning,Art
71,recordbreaking picasso go show britain expensive painting sold auction pablo picasso nude green leaf bust go public display britain first time monday tate modern gallery london,Art
72,photo gallery graffiti zamalek walk street zamalek reveals revolutionary energy expressed graffiti,Art
73,exhibition sadat metro station honour martyr egyptian revolution hundred day end mubarak regime el sadat metro station feature photography gallery honouring martyr egyptian revolution,Art
74,celebrating egyptian sculptor mahmoud mokhtar 120th birthday would mahmoud mokhtars 120th birthday celebrate egyptian nationalistic sculptor legacy reviving art sculpting lost midst century war foreign occupation,Art
75,auc press launch visual festival 11 may american university cairo press announces art photography festival open wednesday 11 may,Art
